,number,value,datetime_start,datetime_complete,duration,params_fpSize,params_learning_rate_hist_gradient_boosting_classifier,params_maxPath,params_minPath,params_percentile,params_standardization_type,params_standardizer,state
82,82,0.6167190406492732,2024-05-02 01:58:25.971183,2024-05-02 02:02:26.029402,0 days 00:04:00.058219,2048,0.9127824542402807,9,2,50,simple_standardisation,custom_standardizer,COMPLETE
83,83,0.5958925435030087,2024-05-02 02:02:26.049045,2024-05-02 02:04:47.898623,0 days 00:02:21.849578,2048,0.8709945159627712,9,2,55,simple_standardisation,custom_standardizer,COMPLETE
84,84,0.6165624762834065,2024-05-02 02:04:47.911625,2024-05-02 02:06:30.326121,0 days 00:01:42.414496,2048,0.9228110549456906,9,2,42,simple_standardisation,custom_standardizer,COMPLETE
85,85,-inf,2024-05-02 02:06:30.345095,2024-05-02 02:06:39.340503,0 days 00:00:08.995408,2048,0.9513112413335635,10,2,49,heavy_standardisation,custom_standardizer,COMPLETE
86,86,0.6068577449682101,2024-05-02 02:06:39.359036,2024-05-02 02:24:11.691994,0 days 00:17:32.332958,1024,0.7828734018667957,8,2,38,simple_standardisation,custom_standardizer,COMPLETE
87,87,0.5665401749413377,2024-05-02 02:24:11.704969,2024-05-02 02:46:52.787662,0 days 00:22:41.082693,2048,0.8223775987026425,9,2,65,,chembl_standardizer,COMPLETE
88,88,0.5929500054209356,2024-05-02 02:46:52.803227,2024-05-02 02:49:36.781307,0 days 00:02:43.978080,1024,0.8883087366984803,8,2,26,,pass_through_standardizer,COMPLETE
89,89,0.6022117146419472,2024-05-02 02:49:36.793726,2024-05-02 02:51:35.186086,0 days 00:01:58.392360,2048,0.860593857589126,5,2,71,,chembl_standardizer,COMPLETE
90,90,0.605810125920591,2024-05-02 02:51:35.204261,2024-05-02 02:52:44.505967,0 days 00:01:09.301706,1024,0.9794209556568565,6,2,57,simple_standardisation,custom_standardizer,COMPLETE
91,91,0.6403156204260855,2024-05-02 02:52:44.520369,2024-05-02 02:54:19.266495,0 days 00:01:34.746126,2048,0.9401569464427192,9,2,46,simple_standardisation,custom_standardizer,COMPLETE
92,92,0.581288740329438,2024-05-02 02:54:19.282801,2024-05-02 02:55:48.337289,0 days 00:01:29.054488,2048,0.9493129382398843,9,2,46,simple_standardisation,custom_standardizer,COMPLETE
93,93,0.5838504189608841,2024-05-02 02:55:48.350064,2024-05-02 02:57:08.737369,0 days 00:01:20.387305,2048,0.9124230052765857,9,2,44,simple_standardisation,custom_standardizer,COMPLETE
94,94,0.5742142315049291,2024-05-02 02:57:08.750513,2024-05-02 02:58:36.695958,0 days 00:01:27.945445,2048,0.840647115177627,10,2,53,simple_standardisation,custom_standardizer,COMPLETE
95,95,0.5879662295069272,2024-05-02 02:58:36.713348,2024-05-02 03:03:48.878625,0 days 00:05:12.165277,2048,0.9377971298349999,8,2,40,simple_standardisation,custom_standardizer,COMPLETE
96,96,0.6254410783015435,2024-05-02 03:03:48.892219,2024-05-02 03:23:45.103431,0 days 00:19:56.211212,2048,0.8990196847776807,9,2,32,,chembl_standardizer,COMPLETE
97,97,0.5848805554910206,2024-05-02 03:23:45.117869,2024-05-02 03:39:58.182599,0 days 00:16:13.064730,2048,0.9736600586763715,9,2,23,,chembl_standardizer,COMPLETE
98,98,0.610980945411178,2024-05-02 03:39:58.201060,2024-05-02 03:41:20.407626,0 days 00:01:22.206566,1024,0.8993654969213839,8,2,33,,chembl_standardizer,COMPLETE
99,99,0.612704971385204,2024-05-02 03:41:20.427313,2024-05-02 03:42:44.145369,0 days 00:01:23.718056,2048,0.9236057418113427,8,2,18,,chembl_standardizer,COMPLETE
